idx	label	eplus	eminus	lx	vlabel	gmV	gmK	gmC	gmO	gmP	gmS
0	vite. rec-len (1c)	0.4568	0.8011	2.0964	1.64$\times$	1.6395	nan	nan	nan	nan	nan
1	vite. per-step-work	0.4521	0.2508	2.0378	1.59$\times$	1.5857	nan	nan	nan	nan	nan
2	kalm. rec-len (32c)	0.2794	0.1216	1.0679	0.79$\times$	nan	0.7885	nan	nan	nan	nan
3	kalm. batch	0.1778	0.1038	0.9650	0.79$\times$	nan	0.7872	nan	nan	nan	nan
4	kalm. rec-len (1c)	0.4354	0.0899	1.2098	0.77$\times$	nan	0.7744	nan	nan	nan	nan
5	cheb. per-step-work	0.0494	0.0262	1.0715	1.02$\times$	nan	nan	1.0221	nan	nan	nan
6	cheb. rec-len	0.0070	0.0062	1.0190	1.01$\times$	nan	nan	1.0120	nan	nan	nan
7	ode. batch	0.4732	0.4284	5.0054	4.53$\times$	nan	nan	nan	4.5322	nan	nan
8	ode. rec-len	1.5826	2.2787	4.8957	3.31$\times$	nan	nan	nan	3.3131	nan	nan
9	pref. shift (32c)	0.0000	0.0000	1.8898	1.89$\times$	nan	nan	nan	nan	1.8898	nan
10	pref. shift (1c)	0.0000	0.0000	1.3365	1.34$\times$	nan	nan	nan	nan	1.3365	nan
11	pref. mean (32c)	0.0000	0.0000	1.1036	1.10$\times$	nan	nan	nan	nan	1.1036	nan
12	pref. mean (1c)	0.0000	0.0000	1.0396	1.04$\times$	nan	nan	nan	nan	1.0396	nan
13	ster. full-res w9	0.1921	0.1286	1.3575	1.17$\times$	nan	nan	nan	nan	nan	1.1655
14	ster. full-res w15	0.0345	0.0384	1.0786	1.04$\times$	nan	nan	nan	nan	nan	1.0441
15	ster. small w9	0.0332	0.0257	1.0533	1.02$\times$	nan	nan	nan	nan	nan	1.0202
